"x","y","group","id","contacts","infected","day"
-0.950288283524334,0.234377448891693,"A",1,0,0,0
-0.688905015100955,0.108714033735388,"A",2,0,0,0
-0.720205213946521,0.0924415941139992,"A",3,0,0,0
-0.745929651499956,0.276885958553695,"A",4,0,0,0
-0.98297149006021,0.11354378580808,"A",5,0,0,0
-0.995039344930321,0.324562052430057,"A",6,0,0,0
-0.655045856979906,0.0379694687923725,"A",7,0,0,0
-0.870484181937992,0.329214854424291,"A",8,0,0,0
-0.859329529644221,0.171374138237381,"A",9,0,0,0
-0.978816947878569,0.302757729848319,"A",10,0,0,0
0.748700012624661,0.850508029349157,"B",11,0,0,0
0.661556768775384,0.914591426271954,"B",12,0,0,0
0.734604283780257,1.00427948409692,"B",13,0,0,0
0.483931949627052,0.65319673936815,"B",14,0,0,0
0.570643215611975,1.03861736828462,"B",15,0,0,0
0.765694708269487,0.764141109827915,"B",16,0,0,0
0.569812405281167,1.01864142023028,"B",17,0,0,0
0.809319298513631,0.918029092680672,"B",18,0,0,0
0.606851359721671,0.821800857931385,"B",19,0,1,0
0.758842884269009,0.969577315505603,"B",20,0,0,0
0.856818241611521,0.658785739131281,"B",21,0,0,0
0.530057675935726,0.938598734196285,"B",22,0,0,0
0.534828085158418,0.782473857477316,"B",23,0,0,0
0.755035352971802,0.974686389379212,"B",24,0,0,0
0.655325248357306,0.857202616669247,"B",25,0,0,0
0.817506201178233,0.752804205436269,"B",26,0,0,0
0.872321036722909,0.963365344759086,"B",27,0,0,0
0.511941401087145,0.679643937908122,"B",28,0,0,0
0.667659887284438,0.975829169675717,"B",29,0,0,0
0.76437985737289,0.753728088978687,"B",30,0,0,0
0.518521877177457,0.944230099823335,"B",31,0,0,0
0.880923416451017,1.02864708803595,"B",32,0,0,0
0.584985407613616,0.675572683997462,"B",33,0,0,0
0.503561184261392,0.984731958583007,"B",34,0,0,0
0.758275788728545,0.963881346825519,"B",35,0,0,0
0.798516751066248,0.797055501826117,"B",36,0,0,0
0.625188240394394,0.774025019593546,"B",37,0,0,0
0.630322387986283,0.724961541183302,"B",38,0,0,0
0.598585862279336,0.870739125050614,"B",39,0,0,0
0.515734974932323,0.998208136167386,"B",40,0,0,0
0.629927517831723,0.854871696569035,"B",41,0,0,0
0.554951335847775,0.877769522704193,"B",42,0,0,0
0.698167298254023,0.909280117005119,"B",43,0,0,0
0.685325294811676,0.854943043421963,"B",44,0,0,0
0.861759851392756,0.846923219747851,"B",45,0,0,0
0.620274323583047,0.649450252354154,"B",46,0,0,0
0.669631319664816,0.662070053964863,"B",47,0,0,0
0.516758282654385,1.0147263330035,"B",48,0,0,0
0.827788548436413,0.950700275469581,"B",49,0,0,0
0.642010065991829,0.723418306428948,"B",50,0,0,0
0.778105550151716,0.903090660143653,"B",51,0,0,0
0.552443172395627,0.904492732938388,"B",52,0,0,0
0.665650462530951,0.801087564565251,"B",53,0,0,0
0.791827713776778,0.967907991409311,"B",54,0,0,0
0.508805809341769,0.861795427054176,"B",55,0,0,0
